name,price,Qty,website,date
Afrah,44.04,10 kg,Amazon,2024-05-15
Mahmood 500,92.0,10 kg,Amazon,2024-05-15
Volga,82.05,10 kg,Amazon,2024-05-15
Gautam,,10 kg,Amazon,2024-05-15
"Riam Pure 1121 Creamy Sella Basmati Rice, 10 Kg",92.0,10.0,Dubai Store,2024-05-15
"Mahmood Vvip 1121 Sella XXXL Basmati Rice, 10 Kg",75.0,10.0,Dubai Store,2024-05-15
"DILNAAZ Premium 1121 Sella Basmati Rice, 1 x 10 KG",75.0,10.0,Dubai Store,2024-05-15
"DILNAAZ Classical 1121 Sella Basmati Rice, 1 x 10 KG",60.0,10.0,Dubai Store,2024-05-15
MAHMOOD VVIP,69.38,10 kg,Amazon,2024-05-16
Mahmood 500,88.34,10 kg,Amazon,2024-05-16
Volga,82.05,10 kg,Amazon,2024-05-16
Gautam,,10 kg,Amazon,2024-05-16
"Riam Pure 1121 Creamy Sella Basmati Rice, 10 Kg",92.0,10.0,Dubai Store,2024-05-16
"Mahmood Vvip 1121 Sella XXXL Basmati Rice, 10 Kg",75.0,10.0,Dubai Store,2024-05-16
"DILNAAZ Premium 1121 Sella Basmati Rice, 1 x 10 KG",75.0,10.0,Dubai Store,2024-05-16
"DILNAAZ Classical 1121 Sella Basmati Rice, 1 x 10 KG",60.0,10.0,Dubai Store,2024-05-16
MAHMOOD VVIP,69.38,10 kg,Amazon,2024-05-17
Mahmood 500,88.34,10 kg,Amazon,2024-05-17
Volga,82.05,10 kg,Amazon,2024-05-17
Gautam,,10 kg,Amazon,2024-05-17
"Riam Pure 1121 Creamy Sella Basmati Rice, 10 Kg",92.0,10.0,Dubai Store,2024-05-17
"Mahmood Vvip 1121 Sella XXXL Basmati Rice, 10 Kg",75.0,10.0,Dubai Store,2024-05-17
"DILNAAZ Premium 1121 Sella Basmati Rice, 1 x 10 KG",75.0,10.0,Dubai Store,2024-05-17
"DILNAAZ Classical 1121 Sella Basmati Rice, 1 x 10 KG",60.0,10.0,Dubai Store,2024-05-17
MAHMOOD VVIP,69.38,10 kg,Amazon,2024-05-18
Mahmood 500,92.0,10 kg,Amazon,2024-05-18
Volga,82.05,10 kg,Amazon,2024-05-18
Gautam,,10 kg,Amazon,2024-05-18
"Riam Pure 1121 Creamy Sella Basmati Rice, 10 Kg",92.0,10.0,Dubai Store,2024-05-18
"Mahmood Vvip 1121 Sella XXXL Basmati Rice, 10 Kg",75.0,10.0,Dubai Store,2024-05-18
"DILNAAZ Premium 1121 Sella Basmati Rice, 1 x 10 KG",75.0,10.0,Dubai Store,2024-05-18
"DILNAAZ Classical 1121 Sella Basmati Rice, 1 x 10 KG",60.0,10.0,Dubai Store,2024-05-18
MAHMOOD VVIP,69.38,10 kg,Amazon,2024-05-19
Mahmood 500,92.0,10 kg,Amazon,2024-05-19
Volga,82.05,10 kg,Amazon,2024-05-19
Gautam,,10 kg,Amazon,2024-05-19
"Riam Pure 1121 Creamy Sella Basmati Rice, 10 Kg",92.0,10.0,Dubai Store,2024-05-19
"Mahmood Vvip 1121 Sella XXXL Basmati Rice, 10 Kg",75.0,10.0,Dubai Store,2024-05-19
"DILNAAZ Premium 1121 Sella Basmati Rice, 1 x 10 KG",75.0,10.0,Dubai Store,2024-05-19
"DILNAAZ Classical 1121 Sella Basmati Rice, 1 x 10 KG",60.0,10.0,Dubai Store,2024-05-19
MAHMOOD VVIP,69.38,10 kg,Amazon,2024-05-20
Mahmood 500,92.0,10 kg,Amazon,2024-05-20
Volga,82.05,10 kg,Amazon,2024-05-20
Gautam,,10 kg,Amazon,2024-05-20
"Riam Pure 1121 Creamy Sella Basmati Rice, 10 Kg",92.0,10.0,Dubai Store,2024-05-20
"Mahmood Vvip 1121 Sella XXXL Basmati Rice, 10 Kg",75.0,10.0,Dubai Store,2024-05-20
"DILNAAZ Premium 1121 Sella Basmati Rice, 1 x 10 KG",75.0,10.0,Dubai Store,2024-05-20
"DILNAAZ Classical 1121 Sella Basmati Rice, 1 x 10 KG",60.0,10.0,Dubai Store,2024-05-20
MAHMOOD VVIP,69.38,10 kg,Amazon,2024-05-21
Mahmood 500,92.0,10 kg,Amazon,2024-05-21
Volga,82.05,10 kg,Amazon,2024-05-21
Gautam,,10 kg,Amazon,2024-05-21
"Riam Pure 1121 Creamy Sella Basmati Rice, 10 Kg",92.0,10.0,Dubai Store,2024-05-21
"Mahmood Vvip 1121 Sella XXXL Basmati Rice, 10 Kg",75.0,10.0,Dubai Store,2024-05-21
"DILNAAZ Premium 1121 Sella Basmati Rice, 1 x 10 KG",75.0,10.0,Dubai Store,2024-05-21
"DILNAAZ Classical 1121 Sella Basmati Rice, 1 x 10 KG",60.0,10.0,Dubai Store,2024-05-21
